what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1487895377622
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1487895384038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895389090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895389195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895389507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895406246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895407345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895417177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895422832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895505310
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1487895509004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895510142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895512241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895512561
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1487895570658
started,bundle,org.eclipse.wst.validation.ui,1.2.300.v201201050300,"org.eclipse.wst.validation.ui",1487895570660
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1487895570735
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1487895570781
started,bundle,org.eclipse.mylyn.wikitext.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.ui",1487895577044
started,bundle,org.eclipse.mylyn.wikitext.core,1.5.1.v20110720-0100,"org.eclipse.mylyn.wikitext.core",1487895577096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895580250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895581257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895639950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895642891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895647052
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1487895647069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895695992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895697544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895713707
started,bundle,org.eclipse.m2e.core,1.0.200.20111228-1245,"org.eclipse.m2e.core",1487895724226
started,bundle,org.eclipse.m2e.core.ui,1.0.200.20111228-1245,"org.eclipse.m2e.core.ui",1487895724269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895736316
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895740343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895743679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895744455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895747674
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1487895761121
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1487895761698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895772608
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895772694
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895791823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895796905
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1487895800551
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1487895803579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895809993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895811431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1487895825357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895829231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895834941
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1487895837046
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1487895859548
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1487895880964
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1487895890398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895917513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895919858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895929446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895962538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895965530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895968390
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1487895968440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487895974405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896016718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896023543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896024948
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1487896024960
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1487896026631
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1487896027224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896036456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487896041199
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487896041712
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487896041756
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487896041806
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487896041837
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487896041871
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487896041895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896210117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896211750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896240361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896305278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896308680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896316097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896347646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896357671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896370535
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1487896372051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896381585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896388297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896391393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896488612
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1487896488646
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1487896492908
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1487896493016
